Colony	Season
440_dip_sorted	Autumn
462_dip_sorted	Spring
401_dip_sorted	Spring
425_dip_sorted	Unknown
402_dip_sorted	Spring
413_dip_sorted	Spring
427_dip_sorted	Unknown
403_dip_sorted	Autumn
417_dip_sorted	Spring
430_dip_sorted	Autumn
420_dip_sorted	Spring
431_dip_sorted	Autumn
405_dip_sorted	Spring
421_dip_sorted	Spring
432_dip_sorted	Both
422_dip_sorted	Spring
435_dip_sorted	Spring
407_dip_sorted	Unknown
423_dip_sorted	Unknown
408_dip_sorted	Spring
424_dip_sorted	Autumn
438_dip_sorted	Spring
D_lab_04_sperm_sorted	Autumn
D_lab_09_tissue_sorted	Unknown
D_lab_10_tissue_sorted	Spring
D_lab_11_tissue_sorted	Unknown
D_lab_33_tissue_sorted	Spring
D_lab_34_sperm_sorted	Spring
D_lab_36_tissue_sorted	Spring
D_lab_37_tissue_sorted	Unknown
D_lab_A__tissue_sorted	Autumn
D_lab_C_sperm_sorted	Autumn
D_lab_E__sperm_sorted	Autumn
D_lab_UK_1_sperm_sorted	Spring
D_lab_UK_6_sperm_sorted	Spring
